Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.5020689964294434	0	14.183099	5.48573	35.0	8.0	14.183098591549296	5.485730167366323	1007	1007
2.5926809310913086	1	11.940476	2.7960484	24.0	8.0	11.94047619047619	2.7960481912027806	1003	2010
3.4361636638641357	2	12.407408	3.8128366	24.0	8.0	12.407407407407407	3.81283659603887	1005	3015
4.215676784515381	3	11.632184	2.5691135	21.0	8.0	11.632183908045977	2.5691133697070896	1012	4027
5.071239948272705	4	12.256098	3.31225	25.0	8.0	12.25609756097561	3.312249900764736	1005	5032
6.206957101821899	5	12.679012	3.8000233	27.0	8.0	12.679012345679013	3.8000232633915174	1027	6059
7.3630757331848145	6	13.648648	4.458313	29.0	8.0	13.64864864864865	4.45831271086984	1010	7069
8.220519781112671	7	16.42623	6.544824	35.0	8.0	16.42622950819672	6.544824050267916	1002	8071
9.074570894241333	8	18.924528	9.43268	68.0	10.0	18.92452830188679	9.43267915802587	1003	9074
9.927984714508057	9	23.952381	13.212462	73.0	10.0	23.952380952380953	13.21246233666278	1006	10080
10.822141885757446	10	30.794117	19.95256	88.0	11.0	30.794117647058822	19.95256051939893	1047	11127
11.900107860565186	11	43.791668	20.55679	96.0	15.0	43.791666666666664	20.55678956506152	1051	12178
12.782384872436523	12	54.263157	29.668062	163.0	27.0	54.26315789473684	29.668062050244778	1031	13209
13.657432079315186	13	48.95238	19.386976	103.0	28.0	48.95238095238095	19.386976950609053	1028	14237
14.583560943603516	14	60.833332	27.129831	130.0	30.0	60.833333333333336	27.129831878907357	1095	15332
15.494518995285034	15	76.21429	32.959236	158.0	25.0	76.21428571428571	32.95923579954177	1067	16399
16.332417964935303	16	80.0	48.508526	200.0	27.0	80.0	48.508524231076365	1040	17439
17.20957899093628	17	108.6	47.58403	200.0	69.0	108.6	47.58403093475793	1086	18525
18.03524398803711	18	94.545456	34.652466	168.0	38.0	94.54545454545455	34.65246583476784	1040	19565
18.93629002571106	19	118.0	39.59237	200.0	58.0	118.0	39.592367390136644	1062	20627
19.839119911193848	20	139.625	38.477062	200.0	84.0	139.625	38.47706297263345	1117	21744
20.802644968032837	21	194.16667	13.043731	200.0	165.0	194.16666666666666	13.043729868748773	1165	22909
21.71214199066162	22	183.33333	30.30768	200.0	117.0	183.33333333333334	30.30768146123282	1100	24009
23.124732971191406	23	186.16667	22.289137	200.0	140.0	186.16666666666666	22.28913537029993	1117	25126
24.270407915115356	24	200.0	0.0	200.0	200.0	200.0	0.0	1200	26326
25.306651830673218	25	200.0	0.0	200.0	200.0	200.0	0.0	1200	27526
26.342768907546997	26	200.0	0.0	200.0	200.0	200.0	0.0	1200	28726
27.526845932006836	27	200.0	0.0	200.0	200.0	200.0	0.0	1200	29926
29.306668043136597	28	200.0	0.0	200.0	200.0	200.0	0.0	1200	31126
31.057008743286133	29	191.0	13.540064	200.0	165.0	191.0	13.5400640077266	1146	32272
32.05868482589722	30	166.0	30.289083	200.0	124.0	166.0	30.28908337055731	1162	33434
33.45807886123657	31	184.5	9.928914	200.0	167.0	184.5	9.928914005737653	1107	34541
34.30651593208313	32	173.66667	24.601265	200.0	126.0	173.66666666666666	24.601264646806722	1042	35583
35.26754689216614	33	146.42857	19.301052	182.0	130.0	146.42857142857142	19.30105210202019	1025	36608
36.36580181121826	34	157.42857	21.973082	200.0	131.0	157.42857142857142	21.973081862374524	1102	37710
37.500935792922974	35	125.666664	10.821789	152.0	115.0	125.66666666666667	10.821788720498619	1131	38841
39.59861707687378	36	126.625	23.419743	187.0	111.0	126.625	23.41974327357155	1013	39854
40.853813886642456	37	118.666664	10.852547	132.0	95.0	118.66666666666667	10.85254706406647	1068	40922
42.28069877624512	38	118.77778	16.678514	147.0	90.0	118.77777777777777	16.678514307520704	1069	41991
44.04877495765686	39	114.333336	19.810211	154.0	95.0	114.33333333333333	19.810210610804834	1029	43020
45.3225839138031	40	117.77778	31.81117	200.0	85.0	117.77777777777777	31.81117126551537	1060	44080
46.53054690361023	41	106.9	20.077103	138.0	75.0	106.9	20.07710138441304	1069	45149
48.125136852264404	42	109.2	17.690676	144.0	77.0	109.2	17.690675509996783	1092	46241
49.596282720565796	43	106.8	19.999	154.0	88.0	106.8	19.99899997499875	1068	47309
50.97219681739807	44	102.09091	18.332558	134.0	72.0	102.0909090909091	18.332556958266874	1123	48432
52.1168909072876	45	106.4	30.99742	180.0	80.0	106.4	30.997419247414776	1064	49496
53.40259408950806	46	91.0	20.22375	136.0	60.0	91.0	20.223748416156685	1092	50588
54.95566987991333	47	100.63636	32.071716	184.0	75.0	100.63636363636364	32.071717155810575	1107	51695
56.22702193260193	48	95.545456	19.915108	142.0	76.0	95.54545454545455	19.915109094552655	1051	52746
57.46879696846008	49	100.9	39.589016	200.0	73.0	100.9	39.58901362752045	1009	53755
58.9799108505249	50	91.72727	22.978611	137.0	51.0	91.72727272727273	22.978610247915775	1009	54764
60.74262499809265	51	88.25	19.326687	139.0	62.0	88.25	19.326687075992442	1059	55823
61.95216202735901	52	85.25	28.296423	158.0	53.0	85.25	28.296422035303333	1023	56846
63.187893867492676	53	76.07143	19.09175	112.0	47.0	76.07142857142857	19.091749473507758	1065	57911
64.40411067008972	54	73.35714	19.282143	108.0	53.0	73.35714285714286	19.282142526393773	1027	58938
65.77303791046143	55	74.35714	18.449186	134.0	55.0	74.35714285714286	18.44918559122846	1041	59979
67.04488492012024	56	75.92857	20.104954	125.0	44.0	75.92857142857143	20.104954207196528	1063	61042
